title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
The Garfield Movie,False,748783,en,305.249,2024-04-30,1074,7.1,Animation
Skin. Like. Sun.,False,259872,nl,265.525,2010-02-19,20,6.5,Romance
Hijack 1971,False,1147710,ko,249.26,2024-06-21,69,6.1,Action
Uprising,False,1075676,ko,238.909,2024-10-02,89,7.3,Action
Spider-Man: No Way Home,False,634649,en,283.365,2021-12-15,20075,8.0,Action
Rippy,False,1249532,en,222.432,2024-10-25,18,4.4,Horror
Migration,False,940551,en,246.399,2023-12-06,1792,7.4,Animation
Subservience,False,1064028,en,249.939,2024-08-15,242,6.746,Science Fiction
Speak No Evil,False,1114513,en,208.921,2024-09-11,887,7.335,Horror
Godzilla x Kong: The New Empire,False,823464,en,248.478,2024-03-27,3773,7.152,Action
The Inseparables,False,1059264,en,235.008,2023-09-01,34,6.5,Animation
Gladiator,False,98,en,300.48,2000-05-04,18469,8.216,Action
The Canterville Ghost,False,269509,en,371.022,2023-09-22,21,6.6,Animation
Dragonkeeper,False,588648,zh,218.548,2024-04-11,125,7.404,Action
Outside,False,1306764,tl,202.126,2024-10-17,98,5.9,Horror
Furiosa: A Mad Max Saga,False,786892,en,244.289,2024-05-22,3391,7.5,Action
OVERLORD: The Sacred Kingdom,False,1014505,ja,225.421,2024-09-20,8,7.2,Action
Latency,False,1042657,en,256.35,2024-06-14,30,5.5,Science Fiction
Kill 'em All 2,False,1215162,en,253.446,2024-09-24,118,6.737,Action
Tatsulok: Tatlo Magkasalo,False,1357459,tl,252.774,2024-10-11,4,6.2,Drama
Longlegs,False,1226578,en,252.604,2024-05-31,1327,6.662,Horror
The Killer's Game,False,507241,en,251.897,2024-09-12,91,6.5,Action
Spider-Man: Across the Spider-Verse,False,569094,en,251.444,2023-05-31,6921,8.356,Animation
Heretic,False,1138194,en,249.781,2024-10-31,36,7.3,Horror
Avatar: The Way of Water,False,76600,en,249.666,2022-12-14,11878,7.6,Science Fiction
You're Killing Me,False,975022,en,248.919,2023-04-07,30,5.9,Horror
Mufasa: The Lion King,False,762509,en,247.082,2024-12-18,0,0.0,Adventure
The Dark Knight,False,155,en,246.994,2008-07-16,32824,8.5,Drama
Big City Greens the Movie: Spacecation,False,929563,en,246.798,2024-06-06,19,7.9,Animation
The Lord of the Rings: The Return of the King,False,122,en,245.987,2003-12-17,24157,8.5,Adventure
