title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
Insidious: Chapter 3,False,280092,en,46.546,2015-05-28,3327,6.3,Horror
Home Sweet Home Alone,False,654974,en,46.522,2021-11-11,613,4.9,Comedy
Die Another Day,False,36669,en,46.522,2002-11-17,3478,5.987,Adventure
Hellraiser,False,9003,en,46.521,1987-09-11,2529,6.883,Horror
Trunk - Locked In,False,1183905,de,46.506,2023-11-24,79,6.0,Thriller
Herbie Fully Loaded,False,11451,en,46.505,2005-06-22,2254,5.8,Comedy
Godzilla,False,124905,en,46.493,2014-05-14,9062,6.341,Action
Van Helsing,False,7131,en,46.489,2004-05-03,5959,6.4,Horror
The Promised Neverland,False,634521,ja,46.48,2020-12-18,56,7.5,Action
Baby Shark's Big Movie,False,1008437,en,46.474,2024-02-07,35,6.8,Animation
The Contractor,False,628900,en,46.453,2022-03-10,888,6.4,Action
The Magnificent Seven,False,966,en,46.432,1960-10-12,1763,7.5,Western
0000 Kilometre,False,1257926,tr,46.357,2024-10-31,1,5.0,Romance
Starship Troopers,False,563,en,46.351,1997-11-07,4865,7.1,Adventure
Satan's Slaves 2: Communion,False,925786,id,46.348,2022-07-30,60,7.0,Drama
MollyCam,False,56245,da,46.346,2008-07-18,3,6.3,Drama
Limitless,False,51876,en,46.338,2011-03-17,10537,7.2,Thriller
3096 Days,False,166666,de,46.322,2013-02-21,880,7.436,Drama
Oldboy,False,670,ko,46.31,2003-11-21,8632,8.257,Drama
Memory,False,818397,en,46.285,2022-04-28,1479,6.8,Action
Blade II,False,36586,en,46.281,2002-03-22,4680,6.6,Fantasy
Hot Frosty,False,1290287,en,46.264,2024-11-12,0,0.0,Romance
All You Need Is Blood,False,1178329,en,46.264,2023-10-08,6,5.8,Comedy
Getting LOST,False,1107128,en,46.263,2024-09-22,0,0.0,Documentary
Beverly Hills Chihuahua,False,14405,en,46.257,2008-10-03,1047,5.4,Comedy
Sweeney Todd: The Demon Barber of Fleet Street,False,13885,en,46.255,2007-12-20,5841,7.186,Drama
Blood Red Sky,False,760883,de,46.242,2021-07-23,1524,6.9,Horror
Blitz,False,55846,en,46.242,2011-05-20,1629,6.2,Crime
What Happens in Vegas,False,9029,en,46.227,2008-05-07,3026,6.1,Comedy
Celebrity Sex Tape,False,87584,en,46.189,2012-02-02,67,4.4,Comedy
Venom,False,30789,en,46.179,1981-11-28,78,5.6,Horror
Stree 2,False,1112426,hi,46.14,2024-08-15,37,6.73,Horror
Bird Box,False,405774,en,46.14,2018-12-13,9857,6.837,Horror
Mad Max 2,False,8810,en,46.123,1981-12-24,3717,7.4,Adventure
The Bad Guys: A Very Bad Holiday,False,1046032,en,46.12,2023-11-29,112,6.6,Animation
Heart of Stone,False,724209,en,46.108,2023-08-09,1669,6.8,Thriller
Amélie,False,194,fr,46.108,2001-04-25,11457,7.914,Comedy
The Witch: Part 1. The Subversion,False,530254,ko,46.094,2018-06-27,549,7.8,Action
#AMFAD: All My Friends Are Dead,False,1090323,en,46.071,2024-08-29,11,6.5,Horror
Death on the Nile,False,505026,en,46.062,2022-02-09,3639,6.428,Mystery
Tinker Bell and the Pirate Fairy,False,175112,en,46.042,2014-02-13,987,6.9,Animation
Extreme Measures,False,11306,en,46.039,1996-09-27,315,6.0,Drama
Angel Heart,False,635,en,46.031,1987-03-06,1505,7.134,Horror
The Cannonball Run,False,11286,en,46.029,1981-06-19,613,6.1,Action
The A-Team,False,34544,en,46.028,2010-06-09,4584,6.4,Thriller
The Bourne Legacy,False,49040,en,46.026,2012-08-08,5625,6.2,Action
Black Clover: Sword of the Wizard King,False,812225,ja,45.987,2023-06-16,275,8.173,Animation
Hustle,False,705861,en,45.965,2022-06-03,2497,7.758,Drama
Lonely Wives,False,70519,de,45.949,1972-01-28,13,3.2,Comedy
Zack and Miri Make a Porno,False,10358,en,45.943,2008-09-18,2390,6.324,Comedy
Blue Is the Warmest Color,False,152584,fr,45.942,2013-10-09,4543,7.1,Romance
Butch Cassidy and the Sundance Kid,False,642,en,45.934,1969-09-23,2169,7.6,Western
The Haunting Of The Immaculate Nurse,False,1208808,es,45.918,2024-12-05,0,0.0,Horror
Weathering with You,False,568160,ja,45.915,2019-06-19,2274,7.998,Animation
Coma,False,11223,en,45.914,1978-01-06,401,6.7,Thriller
Private Number 91-Karlsson,False,146451,sv,45.892,1946-09-02,7,7.2,Comedy
Basic Instinct,False,402,en,45.89,1992-03-20,3824,6.919,Thriller
Fresh,False,787752,en,45.869,2022-03-03,1561,7.0,Horror
One Flew Over the Cuckoo's Nest,False,510,en,45.859,1975-11-19,10404,8.4,Drama
48 Hrs.,False,150,en,45.835,1982-12-07,1469,6.7,Thriller
Fantastic Four: Rise of the Silver Surfer,False,1979,en,45.825,2007-06-13,7782,5.6,Science Fiction
Stranger in the Woods,False,1175038,en,45.818,2024-02-14,92,6.2,Horror
Frances Ha,False,121986,en,45.807,2013-05-17,1591,7.4,Comedy
Before Dawn,False,981063,en,45.805,2024-04-04,28,7.0,War
Jack Ryan: Shadow Recruit,False,137094,en,45.756,2014-01-15,2828,6.1,Action
Frailty,False,12149,en,45.742,2002-04-12,1146,7.0,Drama
Blackwater Lane,False,1215918,en,45.733,2024-06-21,31,6.6,Thriller
Dragon Ball GT: A Hero's Legacy,False,18095,ja,45.687,1997-03-26,329,6.7,Adventure
American Reunion,False,71552,en,45.685,2012-04-04,4380,6.3,Comedy
The Beast,False,914206,fr,45.683,2024-02-07,118,6.2,Drama
Life of Pi,False,87827,en,45.681,2012-11-20,12996,7.4,Adventure
Sightless,False,733156,en,45.677,2020-09-29,383,6.8,Thriller
"Dude, Where's My Car?",False,8859,en,45.669,2000-12-15,1848,5.5,Comedy
Charlie's Angels: Full Throttle,False,9471,en,45.666,2003-06-25,3013,5.474,Action
The Return,False,628866,en,45.664,2020-09-05,288,6.8,Horror
The Fall,False,14784,en,45.664,2008-01-03,1294,7.6,Adventure
Beauty and the Beast,False,648,fr,45.66,1946-10-29,584,7.5,Drama
Men of Honor,False,11978,en,45.641,2000-09-13,2257,7.5,Drama
Slender Man,False,439015,en,45.639,2018-05-17,1982,4.295,Horror
Willow,False,847,en,45.631,1988-05-20,1907,7.0,Fantasy
Hunter Killer,False,399402,en,45.619,2018-10-19,2155,6.895,Action
Jurassic Park,False,329,en,45.616,1993-06-11,16224,8.0,Adventure
Batman: Soul of the Dragon,False,732450,en,45.597,2021-01-12,335,6.7,Animation
Cast Away,False,8358,en,45.579,2000-12-22,11308,7.7,Adventure
The Courier,False,1148713,es,45.56,2024-01-19,108,6.5,Thriller
Showdown in Little Tokyo,False,13154,en,45.547,1991-08-23,468,6.4,Action
Trainwreck,False,271718,en,45.546,2015-07-17,2553,5.805,Comedy
Parallel Mothers,False,766798,es,45.539,2021-10-08,913,6.8,Drama
E.T. the Extra-Terrestrial,False,601,en,45.532,1982-06-11,11131,7.517,Science Fiction
We Can Be Heroes,False,615677,en,45.524,2020-12-25,764,6.0,Family
The Machinist,False,4553,en,45.506,2004-07-02,5521,7.5,Thriller
Black Hawk Down,False,855,en,45.487,2001-12-28,5689,7.4,Action
The Lovely Bones,False,7980,en,45.485,2009-12-26,4564,7.1,Fantasy
Insidious,False,49018,en,45.484,2011-03-31,6732,6.946,Horror
Dange,False,1236671,hi,45.479,2024-03-01,3,5.7,Action
The Man Who Killed Hitler and Then the Bigfoot,False,530081,en,45.475,2019-02-08,431,5.4,Drama
Wall Street,False,10673,en,45.445,1987-12-10,2018,7.164,Crime
My Hero Academia: Heroes Rising,False,592350,ja,45.435,2019-12-20,1161,8.169,Animation
Borderless Fog,False,1126357,id,45.433,2024-07-31,59,6.1,Thriller
Fun with Dick and Jane,False,7552,en,45.426,2005-12-21,2403,6.2,Comedy
Peninsula,False,581392,ko,45.415,2020-07-15,2344,6.761,Horror
The Curious Case of Benjamin Button,False,4922,en,45.402,2008-12-25,12696,7.589,Drama
V/H/S/94,False,753453,en,45.39,2023-11-09,75,6.0,Horror
Young Hearts,False,1232449,nl,45.378,2024-10-26,1,6.0,Drama
The Cave,False,9042,en,45.373,2005-08-26,905,5.4,Action
Liar Liar,False,1624,en,45.362,1997-03-21,5591,6.7,Comedy
Delinquent in Drag,False,324568,ja,45.36,1992-08-21,6,4.0,Animation
Legend of the Guardians: The Owls of Ga'Hoole,False,41216,en,45.354,2010-07-10,2288,6.808,Animation
Ace Ventura: Pet Detective,False,3049,en,45.35,1994-02-04,5749,6.565,Comedy
The Transporter,False,4108,en,45.328,2002-10-02,5278,6.7,Action
Death Race: Beyond Anarchy,False,401478,en,45.324,2018-10-02,329,6.2,Action
Kiss the Girls,False,9437,en,45.324,1997-09-29,1594,6.523,Thriller
Saw 3D,False,41439,en,45.312,2010-10-22,2995,6.0,Horror
The Autopsy of Jane Doe,False,397243,en,45.304,2016-12-21,4216,6.8,Horror
The Perfection,False,529962,en,45.288,2018-09-20,1326,6.5,Horror
Blade of the 47 Ronin,False,732459,en,45.266,2022-10-25,203,6.5,Fantasy
Maggie,False,287424,en,45.261,2015-05-08,1564,5.4,Horror
To All the Boys: Always and Forever,False,614409,en,45.256,2021-02-12,1893,7.5,Romance
Blue Thunder,False,6341,en,45.253,1983-02-05,469,6.2,Drama
Night at the Museum,False,1593,en,45.252,2006-12-20,10143,6.6,Action
Cobra,False,9874,en,45.251,1986-01-01,1737,6.108,Action
Wifelike,False,1001835,en,45.23,2022-08-12,273,6.8,Science Fiction
X-Rated: The Greatest Adult Movies of All Time,False,324558,en,45.221,2015-02-06,184,6.4,Documentary
Coach Carter,False,7214,en,45.221,2005-01-14,2931,7.6,Drama
Tomb Raider,False,338970,en,45.216,2018-03-05,7742,6.4,Action
The Wingwalker,False,1183699,es,45.201,2024-10-10,2,6.8,Drama
Punisher: War Zone,False,13056,en,45.196,2008-12-05,1129,5.8,Action
Friends with Benefits,False,50544,en,45.194,2011-07-21,7872,6.7,Romance
Insidious: Chapter 2,False,91586,en,45.163,2013-09-12,4207,6.7,Horror
Welcome Home,False,525460,en,45.158,2018-11-16,327,5.307,Thriller
Girls Trip,False,417870,en,45.151,2017-07-21,1492,6.8,Comedy
Star Wars: The Clone Wars,False,12180,en,45.143,2008-08-05,1990,6.1,Animation
Idol Sex: LA Korean Women,False,719128,ko,45.137,2020-06-18,1,1.0,Romance
Life,False,6522,en,45.118,1999-04-16,777,6.6,Comedy
Mother of the Bride,False,1093231,en,45.102,2024-05-08,271,6.0,Romance
He's All That,False,347626,en,45.097,2021-08-27,1368,6.5,Comedy
Stand Up Guys,False,121824,en,45.089,2012-12-14,920,6.0,Thriller
Trilogy of Lust II,False,140378,cn,45.072,1996-10-29,9,4.6,Crime
Ninja Assassin,False,22832,en,45.071,2009-09-29,1538,6.6,Action
"Crazy, Stupid, Love.",False,50646,en,45.013,2011-07-29,8456,7.26,Comedy
Force of Nature: The Dry 2,False,832262,en,45.003,2024-02-08,135,6.6,Mystery
47 Ronin,False,64686,en,44.982,2013-12-06,3792,6.181,Drama
Sister Act 2: Back in the Habit,False,6279,en,44.981,1993-12-09,1785,6.373,Music
The Roundup,False,619803,ko,44.978,2022-05-18,297,7.2,Action
The Last Samurai,False,616,en,44.962,2003-12-05,6810,7.6,Drama
Sex and Zen III,False,123338,cn,44.95,1998-04-23,19,6.4,Comedy
Salome,False,1135869,id,44.947,2023-05-13,1,10.0,Drama
Barbie in the 12 Dancing Princesses,False,13002,en,44.912,2006-09-19,1167,7.6,Animation
Papillon,False,433498,en,44.911,2017-09-07,1917,7.347,Drama
Scorned,False,64084,en,44.909,1993-07-14,33,5.1,Drama
172 Days,False,1134754,id,44.906,2023-11-23,23,5.6,Drama
The Book of Eli,False,20504,en,44.899,2010-01-14,6046,6.8,Action
The Aristocats,False,10112,en,44.888,1970-11-13,4953,7.296,Animation
Beauty Rope Cosmetology,False,185708,ja,44.877,1983-12-02,3,5.0,Drama
Grease,False,621,en,44.864,1978-07-07,7168,7.393,Romance
Monsters 103 Mercies Dragon Damnation,False,1230393,ja,44.861,2024-01-21,112,7.058,Animation
Parker,False,119283,en,44.859,2013-01-23,3008,6.0,Action
Murder at Yellowstone City,False,974961,en,44.858,2022-06-24,71,5.4,Western
Elvis,False,614934,en,44.802,2022-06-22,3384,7.5,Drama
The Girl with the Dragon Tattoo,False,15472,sv,44.8,2009-02-27,2928,7.53,Drama
Highlander: Endgame,False,12211,en,44.792,2000-09-01,399,4.8,Action
We Were Soldiers,False,10590,en,44.792,2002-03-01,2030,7.1,Action
The Student,False,355651,nl,44.728,2015-09-27,6,4.2,Drama
Eden Lake,False,13510,en,44.706,2008-09-12,1761,6.823,Horror
Last Christmas,False,549053,en,44.702,2019-11-07,2329,7.2,Comedy
The Flintstones,False,888,en,44.694,1994-05-26,2431,5.336,Fantasy
'Tis the Season to Be Irish,False,1360791,en,44.691,2024-11-10,1,10.0,Romance
How to Survive Without Mum,False,898994,fr,44.645,2023-04-12,108,5.3,Comedy
Stitch! The Movie,False,15567,en,44.638,2003-08-26,696,6.4,Comedy
Lilo & Stitch,False,552524,en,44.618,2025-05-21,0,0.0,Family
Blockers,False,437557,en,44.617,2018-03-14,1967,6.302,Comedy
50 First Dates,False,1824,en,44.595,2004-02-13,7128,6.9,Comedy
Raging Bull,False,1578,en,44.555,1980-11-14,4285,7.9,Drama
Rape Zombie: Lust of the Dead 3,False,246196,ja,44.541,2013-06-23,87,6.362,Horror
Waiting...,False,7553,en,44.539,2005-10-07,841,6.3,Comedy
Children of the Corn,False,10823,en,44.5,1984-03-09,981,5.723,Horror
Shottas,False,13830,en,44.491,2002-02-27,330,7.671,Action
Barbie and the Diamond Castle,False,13004,en,44.489,2008-09-03,823,7.4,Animation
Blood and Snow,False,1189205,en,44.452,2023-10-06,52,6.3,Science Fiction
Love at First Sight,False,353577,en,44.449,2023-09-15,561,7.3,Romance
Doctor,False,258936,ko,44.425,2012-10-13,6,3.8,Action
Mercy,False,1111966,en,44.417,2023-05-12,70,6.3,Action
Blue Lagoon: The Awakening,False,115290,en,44.4,2012-06-16,1407,6.5,Drama
Wallbanger,False,1217048,en,44.395,2024-04-11,3,5.7,Comedy
Pets United,False,638134,en,44.384,2019-11-08,188,5.8,Animation
Nosferatu,False,426063,en,44.374,2024-12-25,0,0.0,Horror
Charm City Kings,False,552532,en,44.369,2020-01-27,469,7.843,Drama
Forgotten Love,False,1081676,pl,44.349,2023-09-27,263,7.9,Drama
Thunderstruck,False,119738,en,44.346,2012-08-24,235,6.1,Comedy
Miracles from Heaven,False,339984,en,44.337,2016-03-17,1180,7.4,Family
My Father's Private Secretary,False,66075,it,44.334,1976-12-29,13,5.3,Comedy
"Girl, Interrupted",False,3558,en,44.323,1999-12-21,3787,7.6,Drama
South Park: The End of Obesity,False,1290938,en,44.32,2024-05-24,150,7.7,Animation
The Machine,False,647250,en,44.316,2023-05-25,153,5.771,Comedy
Sleepless,False,324542,en,44.314,2017-01-12,1239,5.933,Action
Pompeii,False,76649,en,44.306,2014-02-18,3198,5.5,Action
The Boy in the Woods,False,1083612,en,44.293,2023-09-19,18,6.139,Drama
Child's Play,False,10585,en,44.29,1988-11-09,2964,6.7,Horror
Between the Temples,False,1125073,en,44.281,2024-08-22,16,5.8,Comedy
Colour Blossoms,False,84706,cn,44.278,2004-10-28,9,4.2,Romance
Blazing Saddles,False,11072,en,44.256,1974-02-07,1837,7.2,Western
Dora: Say Hola to Adventure!,False,1205781,en,44.241,2023-11-10,19,7.6,Animation
Superman,False,1061474,en,44.24,2025-07-09,0,0.0,Science Fiction
My Hero Academia: All Might Rising,False,1054116,ja,44.225,2019-02-13,33,6.2,Animation
Smile,False,1014226,es,44.219,2021-09-07,6,5.5,Thriller
Eastern Promises,False,2252,en,44.199,2007-09-14,3310,7.4,Thriller
The Informant!,False,11323,en,44.198,2009-09-18,864,6.1,Drama
"Hello, Goodbye, and Everything in Between",False,745376,en,44.18,2022-07-06,244,6.2,Romance
High School Musical 3: Senior Year,False,11887,en,44.171,2008-10-11,3438,6.6,Comedy
Jeepers Creepers: Reborn,False,717728,en,44.165,2022-09-15,977,5.4,Horror
Diary of a Wimpy Kid,False,774741,en,44.16,2021-12-02,346,6.2,Animation
D2: The Mighty Ducks,False,11164,en,44.16,1994-03-25,595,6.2,Comedy
A Dog's Way Home,False,508763,en,44.159,2019-01-10,1098,7.4,Drama
Escape Plan 2: Hades,False,440471,en,44.159,2018-06-05,1430,5.2,Action
Art of Love,False,1248795,tr,44.154,2024-03-13,127,6.5,Romance
The Trapped 13: How We Survived The Thai Cave,False,1025169,th,44.138,2022-10-05,82,6.3,Documentary
Not Another Teen Movie,False,11397,en,44.138,2001-12-07,2053,5.8,Comedy
Casino Royale,False,12208,en,44.13,1967-04-13,723,5.282,Adventure
Saw VI,False,22804,en,44.124,2009-10-22,3185,6.288,Horror
Love in Taipei,False,745391,en,44.113,2023-08-10,41,7.1,Romance
Fantastic Four,False,9738,en,44.109,2005-06-29,9246,5.787,Action
A Legend,False,1116465,zh,44.102,2024-07-05,19,5.6,Action
The Karate Kid Part II,False,8856,en,44.085,1986-06-18,2160,6.3,Adventure
The Ring,False,565,en,44.065,2002-10-18,6125,6.7,Horror
Weekend in Taipei,False,1167271,en,44.049,2024-09-19,16,5.2,Action
Transporter 3,False,13387,en,44.029,2008-11-26,3328,6.2,Action
Close,False,901563,fr,44.026,2022-11-01,754,7.8,Drama
The Human Centipede (First Sequence),False,37169,lt,44.016,2009-10-31,2156,5.244,Horror
His Three Daughters,False,1154762,en,43.993,2024-09-05,136,6.93,Drama
Game Night,False,445571,en,43.973,2018-02-15,5727,6.852,Mystery
Young Mother,False,218746,ko,43.972,2013-07-31,17,5.0,Comedy
Naughty,False,1057491,ru,43.958,2023-02-14,51,6.2,Drama
Race to Witch Mountain,False,13836,en,43.943,2009-03-12,1689,5.8,Adventure
"Run, Tiger Run!",False,931405,zh,43.932,2022-02-01,46,6.054,Animation
Lady and the Tramp,False,10340,en,43.932,1955-06-22,5236,7.121,Family
The Outlaws,False,479718,ko,43.931,2017-10-03,420,7.7,Action
Salawahan,False,1221451,tl,43.911,2024-02-02,1,1.0,Drama
Bound by Honor,False,9702,en,43.908,1993-02-05,1319,8.1,Crime
Blood and Bone,False,22164,en,43.899,2009-02-07,767,7.4,Action
15 Cameras,False,1179558,en,43.882,2023-10-13,21,6.238,Horror
Init,False,1302011,tl,43.872,2024-07-30,4,5.0,Drama
Curse of Chucky,False,167032,en,43.833,2013-10-08,1545,5.9,Horror
Reign of Chaos,False,951546,en,43.816,2022-04-12,38,5.6,Action
Wonder,False,406997,en,43.769,2017-11-13,7827,8.1,Drama
She Devils of the SS,False,86493,de,43.767,1973-08-23,76,5.2,Drama
Vettaiyan,False,1093966,ta,43.764,2024-10-10,12,5.833,Action
The Ice Road,False,646207,en,43.761,2021-06-24,1660,6.821,Action
Skiptrace,False,270774,en,43.758,2016-07-21,682,5.7,Action
Tora! Tora! Tora!,False,11165,en,43.754,1970-01-26,527,7.2,War
Green Card,False,12157,en,43.752,1990-12-23,473,6.1,Comedy
The Irishman,False,398978,en,43.743,2019-11-01,6759,7.6,Crime
Mystic Pizza,False,11191,en,43.739,1988-10-13,505,6.3,Comedy
Adore,False,111190,en,43.734,2013-04-03,963,6.11,Drama
The Abyss,False,2756,en,43.685,1989-08-09,2945,7.348,Adventure
Creation of the Gods II: Demonic Confrontation,False,1155281,zh,43.68,2025-01-29,0,0.0,Action
Mortal Engines,False,428078,en,43.638,2018-11-27,4638,6.21,Adventure
The Magnificent Seven Ride!,False,43417,en,43.618,1972-08-01,83,5.4,Western
The Pyramid,False,282813,en,43.616,2014-12-04,1046,5.3,Horror
Spiral: From the Book of Saw,False,602734,en,43.555,2021-05-12,2000,6.0,Horror
The Lion Guard: Return of the Roar,False,359983,en,43.551,2015-11-22,1219,6.7,Family
Nick and Norah's Infinite Playlist,False,12182,en,43.546,2008-10-03,1166,6.455,Comedy
Hunters,False,873972,en,43.545,2021-09-13,19,6.0,Action
Insidious: The Last Key,False,406563,en,43.534,2018-01-03,2875,6.3,Horror
Gifted,False,400928,en,43.533,2017-04-07,5452,8.0,Drama
Am I Racist?,False,1320637,en,43.527,2024-09-13,41,6.1,Comedy
Shutter,False,17111,th,43.517,2004-09-09,1211,7.293,Horror
Father There Is Only One,False,587272,es,43.501,2019-08-02,724,7.681,Comedy
Unstoppable,False,44048,en,43.498,2010-11-04,3491,6.577,Action
Bob Marley: One Love,False,802219,en,43.491,2024-02-14,716,6.77,Music
Maximum Risk,False,10861,en,43.48,1996-09-13,490,5.7,Action
Wrong Turn 6: Last Resort,False,259072,en,43.453,2014-08-22,865,5.398,Horror
"See No Evil, Hear No Evil",False,11185,en,43.449,1989-05-12,958,6.7,Comedy
The Man Who Loved UFOs,False,1190469,es,43.446,2024-10-10,11,6.5,Drama
Darlin',False,529149,en,43.445,2019-09-11,125,5.4,Horror
The Matrix Revolutions,False,605,en,43.442,2003-11-05,9825,6.7,Adventure
The Covenant,False,9954,en,43.424,2006-09-07,998,5.597,Fantasy
The Gentlemen,False,522627,en,43.408,2020-01-01,5771,7.7,Action
Poltergeist,False,243688,en,43.408,2015-05-20,2256,5.2,Horror
Mercy Falls,False,1127175,en,43.406,2023-09-01,17,6.118,Thriller
The Forgotten Battle,False,633515,nl,43.383,2021-06-05,670,7.1,Action
Richard Jewell,False,292011,en,43.373,2019-12-13,2476,7.425,Drama
American Mary,False,126277,en,43.359,2013-01-11,508,6.2,Horror
No Strings Attached,False,41630,en,43.322,2011-01-21,4663,6.3,Comedy
S.W.A.T.: Under Siege,False,461053,en,43.317,2017-08-01,366,5.843,Action
Leave the World Behind,False,726209,en,43.313,2023-11-22,2459,6.443,Drama
"Momonsters, La Película",False,1211836,es,43.286,2023-12-06,0,0.0,Animation
The Conjuring: Last Rites,False,1038392,en,43.282,2025-09-04,0,0.0,Horror
The Omega Man,False,11234,en,43.282,1971-08-01,534,6.1,Science Fiction
Faro,False,1172604,es,43.272,2024-01-26,2,2.5,Horror
Descendants 3,False,506574,en,43.247,2019-08-02,1502,7.7,Family
Dumb and Dumber,False,8467,en,43.216,1994-12-16,6066,6.6,Comedy
The 33,False,293646,en,43.208,2015-08-06,919,6.389,Drama
Secret in Their Eyes,False,290751,en,43.193,2015-10-14,1324,6.4,Thriller
One Piece: Episode of Skypiea,False,545742,ja,43.147,2018-08-25,79,7.0,Animation
Queer,False,1059128,en,43.145,2024-11-27,0,0.0,Drama
Cinderella III: A Twist in Time,False,16119,en,43.142,2007-02-06,1239,6.5,Animation
Man on Fire,False,9509,en,43.141,2004-04-23,5073,7.5,Action
Dirty Dancing,False,88,en,43.129,1987-08-21,6082,7.337,Drama
All the Names of God,False,1053592,es,43.114,2023-09-15,116,6.392,Drama
Kubo and the Two Strings,False,313297,en,43.091,2016-08-18,3543,7.6,Animation
Samson and Delilah,False,29993,en,43.075,1949-12-21,210,6.5,Adventure
The Legend of Tarzan,False,258489,en,43.057,2016-06-29,6180,5.909,Fantasy
The Dressmaker,False,298382,en,43.05,2015-10-29,1616,7.0,Drama
Heartbreakers,False,10833,en,43.047,2001-03-23,885,6.1,Comedy
The Karate Kid Part III,False,10495,en,43.036,1989-06-16,1582,5.9,Action
Scars,False,74078,es,43.026,2005-09-16,115,7.483,Drama
Oomuro-ke: Dear Friends,False,1211716,ja,43.019,2024-06-21,6,7.9,Animation
Decision to Leave,False,705996,ko,43.019,2022-06-29,1163,7.351,Thriller
Dragon Ball Z: The Tree of Might,False,39101,ja,43.013,1990-06-07,556,6.5,Action
There's Something Wrong with the Children,False,899579,en,43.011,2023-01-17,197,5.7,Horror
Meteor Storm,False,55241,en,42.994,2010-01-30,61,4.8,Science Fiction
Psycho,False,539,en,42.987,1960-06-22,10027,8.4,Horror
The Fountain,False,1381,en,42.983,2006-11-22,2742,6.9,Drama
New Year's Eve,False,62838,en,42.978,2011-12-08,2107,5.9,Comedy
The Swan Princess: A Fairytale Is Born,False,1118203,en,42.969,2023-05-15,36,6.1,Family
Purpose of Reunion 3,False,502235,ko,42.964,2018-02-20,9,5.3,Drama
"The Cook, the Thief, His Wife & Her Lover",False,7452,en,42.942,1989-10-13,616,7.3,Crime
Cloverfield,False,7191,en,42.937,2008-01-15,7015,6.691,Action
The Brutalist,False,549509,en,42.934,2024-12-20,0,0.0,Drama
Babylon A.D.,False,9381,en,42.931,2008-08-20,2079,5.651,Action
Diary of a Nymphomaniac,False,19173,es,42.927,2008-10-17,309,5.6,Drama
Hunt for the Wilderpeople,False,371645,en,42.882,2016-03-31,2041,7.7,Adventure
The Karate Kid,False,1885,en,42.858,1984-06-22,4127,7.2,Action
101 Dalmatians II: Patch's London Adventure,False,13654,en,42.857,2002-11-06,1162,6.0,Family
The Descent: Part 2,False,34480,en,42.854,2009-10-14,1138,5.9,Adventure
Joy Ride,False,10866,en,42.843,2001-10-05,1173,6.5,Mystery
Replicas,False,300681,en,42.839,2018-10-25,1346,6.0,Science Fiction
Conquest of the Planet of the Apes,False,1688,en,42.834,1972-06-29,945,6.171,Action
The Secret Kingdom,False,893345,en,42.808,2023-04-27,62,6.6,Family
Like Stars on Earth,False,7508,hi,42.798,2007-12-21,1151,8.0,Drama
Jigsaw,False,298250,en,42.766,2017-10-25,3653,6.2,Horror
The Rugrats Movie,False,14444,en,42.759,1998-11-20,562,6.2,Family
Ted Bundy,False,34081,en,42.723,2002-08-02,155,5.8,Crime
Fighter,False,784651,hi,42.72,2024-01-24,112,5.9,Action
Oru Anweshanathinte Thudakkam,False,1274311,ml,42.709,2024-11-08,0,0.0,Thriller
The Transporter Refueled,False,287948,en,42.692,2015-09-02,1468,5.5,Action
My Friend's Mom,False,423502,ko,42.676,2016-10-12,10,3.5,Romance
The Adventures of Maid Marian,False,893334,en,42.66,2022-05-09,18,4.8,Adventure
Devotion,False,653851,en,42.659,2022-11-23,688,7.123,War
The Killer,False,800158,en,42.65,2023-10-25,2103,6.6,Crime
Senior Year,False,800937,en,42.634,2022-05-11,816,5.93,Comedy
Dragon Ball Z: Dead Zone,False,28609,ja,42.604,1989-07-15,536,6.739,Animation
A Cinderella Story: Once Upon a Song,False,74018,en,42.6,2011-09-05,1012,6.372,Comedy
The Scorpion King: Book of Souls,False,522417,en,42.589,2018-10-23,280,5.9,Action
Evangelion: 1.0 You Are (Not) Alone,False,15137,ja,42.571,2007-09-01,942,7.6,Animation
Nocturnal Animals,False,340666,en,42.563,2016-11-04,7711,7.4,Drama
25th Hour,False,1429,en,42.542,2002-12-19,2324,7.3,Crime
R.I.P.D.,False,49524,en,42.514,2013-07-18,3957,5.8,Fantasy
Love Actually,False,508,en,42.51,2003-09-07,6608,7.1,Comedy
The Mitchells vs. the Machines,False,501929,en,42.489,2021-04-22,2920,7.9,Animation
The Longest Ride,False,228205,en,42.485,2015-04-09,3117,7.626,Drama
Charlie's Angels,False,4327,en,42.477,2000-11-02,4122,5.8,Action
Black Beauty,False,526702,en,42.471,2020-11-27,335,8.0,Drama
Mr. Nobody,False,31011,en,42.464,2009-11-06,5798,7.818,Science Fiction
Nefarious,False,913673,en,42.462,2023-04-14,288,6.771,Horror
Mom's Friend 2,False,412092,ko,42.461,2016-09-01,11,5.2,Romance
The Bourne Ultimatum,False,2503,en,42.427,2007-08-03,7594,7.4,Action
Beneath the Planet of the Apes,False,1685,en,42.42,1970-04-23,1310,6.2,Adventure
In the Land of Saints and Sinners,False,1027073,en,42.411,2023-10-06,367,6.6,Action
The Invisible Guest,False,411088,es,42.405,2017-01-06,4503,8.1,Drama
Transformers: Beginnings,False,25565,en,42.389,2007-10-16,266,6.9,Animation
Army of Darkness,False,766,en,42.371,1992-10-31,3122,7.3,Fantasy
Tyler Perry's Divorce in the Black,False,1213742,en,42.37,2024-07-11,54,7.056,Drama
