id,title,original_title,release_date,overview,genre_ids,original_language,popularity,vote_average,vote_count,adult,genre_names
1022789,Inside Out 2,Inside Out 2,2024-06-11,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","[16, 10751, 12, 35, 18]",en,811.612,7.6,4678,False,"['Animation', 'Family', 'Adventure', 'Comedy', 'Drama']"
1331375,Dominique,Dominique,2024-10-11,"Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.","[28, 53]",en,755.782,7.206,34,False,"['Action', 'Thriller']"
558449,Gladiator II,Gladiator II,2024-11-13,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","[28, 12]",en,745.969,7.9,33,False,"['Action', 'Adventure']"
1214484,Let Go,Släpp taget,2024-11-01,A jaded mother makes a last-ditch effort to keep her family together by taking them on a trip to their teenage daughter’s pole dancing competition.,[18],sv,739.43,8.1,94,False,['Drama']
1287717,Do Not Enter,No entres,2024-08-06,"Two working class youtubers ‘in the making’ enter an abandoned mansion to get their basketball back, and get lost inside while pranking each other. They record their ‘quick adventure’ with their phones for their audience, and tweak it with a fake phantom appearance to attract more followers to their YouTube channel. When uploaded the video goes viral, so they start a challenge: if the video reaches a certain number of views, they will enter the house again, at night, alone, totally unprotected. As fans react positively, they will do as promised, not only to discover and unveil the true nature of the place and their inhabitants, but to realize they might not be among the living anymore. Which opens a question - how far would you go to be famous?",[27],es,702.791,7.8,52,False,['Horror']
420634,Terrifier,Terrifier,2018-01-25,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,"[27, 53]",en,701.111,6.385,2403,False,"['Horror', 'Thriller']"
1371727,Sing: Thriller,Sing: Thriller,2024-10-16,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.","[16, 10751, 35, 27]",en,652.294,7.4,84,False,"['Animation', 'Family', 'Comedy', 'Horror']"
1029235,Azrael,Azrael,2024-09-27,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.","[28, 27, 53]",en,639.567,6.1,119,False,"['Action', 'Horror', 'Thriller']"
663712,Terrifier 2,Terrifier 2,2022-10-06,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.","[27, 53]",en,626.918,6.75,2005,False,"['Horror', 'Thriller']"
827931,Time Cut,Time Cut,2024-10-29,"A teen in 2024 accidentally time-travels to 2003, days before a masked killer murders her sister. Can she change the past without destroying the future?","[27, 878, 53]",en,625.683,5.648,250,False,"['Horror', 'Science Fiction', 'Thriller']"
1063877,Don't Move,Don't Move,2024-10-24,"A grieving woman in a secluded forest encounters a killer who injects her with a paralytic drug. As her body shuts down, her fight for survival begins.","[53, 27]",en,624.738,6.4,431,False,"['Thriller', 'Horror']"
917496,Beetlejuice Beetlejuice,Beetlejuice Beetlejuice,2024-09-04,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.","[35, 14, 27]",en,616.277,7.15,1761,False,"['Comedy', 'Fantasy', 'Horror']"
1125510,The Platform 2,El hoyo 2,2024-09-27,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.","[878, 27]",es,597.195,5.651,822,False,"['Science Fiction', 'Horror']"
179387,Heavenly Touch,Heavenly Touch,2009-05-12,"Jonard is having trouble making ends meet. His mother is suffering from depression, and he and his sister are forced to quit school in order to take care of her. One day, Jonard meets up his friend Rodel, and Rodel introduces him to the world of massage parlors. Rodel teaches him massage, and brings him to Heavenly Touch, a syndicate-run massage parlor that mostly caters to homosexuals.","[18, 10749]",tl,590.204,6.3,21,False,"['Drama', 'Romance']"
1100856,Whisper of the Witch,Заклятье. Шепот ведьм,2024-06-13,"Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.","[27, 53]",ru,550.252,4.7,6,False,"['Horror', 'Thriller']"
1159311,My Hero Academia: You're Next,僕のヒーローアカデミア THE MOVIE ユアネクスト,2024-08-02,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...","[16, 28, 12, 878]",ja,538.004,6.91,50,False,"['Animation', 'Action', 'Adventure', 'Science Fiction']"
1149912,Kelas Bintang - Hot Moms,Kelas Bintang - Hot Moms,2023-02-09,,"[18, 10749]",id,530.018,5.7,6,False,"['Drama', 'Romance']"
573435,Bad Boys: Ride or Die,Bad Boys: Ride or Die,2024-06-05,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.","[28, 35]",en,529.894,7.5,2315,False,"['Action', 'Comedy']"
957452,The Crow,The Crow,2024-08-21,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.","[28, 14, 27]",en,513.516,5.86,737,False,"['Action', 'Fantasy', 'Horror']"
173705,Female Teacher: In Front of the Students,女教師 生徒の眼の前で,1982-04-09,"The lovely Reiko has taken a new teaching job at a creepy old high school.  She is an extremely attractive woman and the young students in her class have fallen for her.  One night, after tennis practice, she is brutally assaulted in the locker room shower by a man with a stocking over his face.  Left on the floor naked and in shock, she discovers a single puzzle piece left behind by the crazed man.  A few days later, a pair of students enact a perverted sexual revenge on Reiko for kicking someone off the tennis team.  Could one of these students be the man who brutalized her in the locker room?  Who owns the strange puzzle piece?  As the mystery unfolds, Reiko must come to terms with her own sexual urges and fate.","[18, 9648, 27]",ja,511.852,7.0,14,False,"['Drama', 'Mystery', 'Horror']"
991610,Invasion,Invasie,2024-04-11,"When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Navy recruits must figure out what is the right thing to do.","[28, 18, 53]",nl,493.204,4.9,9,False,"['Action', 'Drama', 'Thriller']"
1149912,Kelas Bintang - Hot Moms,Kelas Bintang - Hot Moms,2023-02-09,,"[18, 10749]",id,530.018,5.7,6,False,"['Drama', 'Romance']"
354912,Coco,Coco,2017-10-27,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","[10751, 16, 10402, 12]",en,367.691,8.2,19422,False,"['Family', 'Animation', 'Music', 'Adventure']"
1079091,It Ends with Us,It Ends with Us,2024-08-07,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.","[10749, 18]",en,443.739,7.2,1007,False,"['Romance', 'Drama']"
957452,The Crow,The Crow,2024-08-21,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.","[28, 14, 27]",en,513.516,5.9,736,False,"['Action', 'Fantasy', 'Horror']"
1354627,SpongeBob Squarepants: Kreepaway Kamp,SpongeBob Squarepants: Kreepaway Kamp,2024-10-10,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!","[10770, 10751, 35, 27, 16]",en,403.533,7.229,48,False,"['TV Movie', 'Family', 'Comedy', 'Horror', 'Animation']"
86328,Terrifier,Terrifier,2011-08-09,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",[27],en,371.406,6.3,183,False,['Horror']
726139,Project Silence,탈출: 프로젝트 사일런스,2024-07-11,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.","[28, 53, 27, 878]",ko,449.36,7.0,214,False,"['Action', 'Thriller', 'Horror', 'Science Fiction']"
1373893,Joni pata de conejo,Joni pata de conejo,2024-10-11,,[28],es,333.815,7.0,4,False,['Action']
